"sim","pos_mean","sd","bias","lower_ci","upper_ci"
1,-0.266796277367838,0.0226967282406089,0.0206469226321625,-0.311544911876317,-0.223446223100826
2,-0.31617882375599,0.0227511776668077,-0.0287356237559901,-0.360404395896209,-0.271741807076012
3,-0.318776532920678,0.0238363601093935,-0.0313333329206777,-0.36617002145082,-0.272899619719083
4,-0.306514578346001,0.0227840369401266,-0.0190713783460014,-0.351841485015045,-0.263433947426735
5,-0.290009104915849,0.0227397331775337,-0.00256590491584896,-0.334933816916112,-0.246193069764923
6,-0.29320902832749,0.0243289329346168,-0.00576582832749017,-0.340581606158967,-0.245365014573563
7,-0.278452921138142,0.0228814556146137,0.00899027886185771,-0.325316229488241,-0.234734895414046
8,-0.284435069008318,0.0226383139524129,0.00300813099168179,-0.328718434271476,-0.239974376909881
9,-0.302690897106158,0.022902779178605,-0.0152476971061583,-0.348500321461716,-0.258965653855412
10,-0.295710040476451,0.0228532167263521,-0.0082668404764511,-0.341497669682847,-0.250859939567809
